Component Category,item,cost,,LINK,quatity
,,,,,
case,top,$0.92/ ₹84.56,,https://a3dxyz.com/instant3dp/,1
,base,$1.31/₹120,,https://a3dxyz.com/instant3dp/,1
,encoder cap,$0.38/₹35,,https://a3dxyz.com/instant3dp/,1
,keycap,$1.63/₹150,,https://moddest.in/#/shop/blank-xda-keycap-singles,8
electronics ,pcb ,$9.80/₹900,,https://robu.in/product/online-pcb-manufacturing-service/,5
,esp32-s3,$5.50/₹500,,https://makerbazar.in/products/esp32-c3-supermini-iot-development-board?variant=48753170481392,1
,switches,$4.89/₹449 ,,https://www.thecosmicbyte.com/product/cherry-mx-mechancial-5-pin-switches-compatible-with-hot-swappable-keyboards-pack-of-10/?attribute_pa_switch-type=mx-silent-red,10
,diode,$0.38  /₹35,,https://makerbazar.in/products/sma-schottky-diode-smd-do-214ac?variant=48365556924656,20
,battery ,$1.63/₹150,,https://makerbazar.in/products/generic-103450-3-7-v-2000mah-lipo-battery-single-cell-lithium-polymer-battery?variant=48251156660464,1
,Capacitor,$0.42/₹39,,https://makerbazar.in/products/0805-smd-smt-mlcc-capacitor,10
,resistor,$0.13/₹12,,https://makerbazar.in/products/0603-smd-surface-mount-chip-resistors,20
,encoder,$0.53/₹49,,https://makerbazar.in/products/360-degrees-rotary-encoder-module-brick-sensor-switch-development-ky-040?variant=40479186944151&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=17426677322&gbraid=0AAAAACLxaAarXGoH2AxoAtpP8yXuwKxQv,1
,RGB,$1.04/₹96,,https://makerbazar.in/products/ws2812b-5050-rgb-led-lamp-panel-module?variant=48251035189488,4
,WIRES ,$0.87/₹80,,https://makerbazar.in/products/flexible-silicon-wire?variant=47855779545328,"19AWG,26AWG"
screw ,,,,,
,M2-10mm(allen),$0.33/₹30,,https://onlyscrews.in/products/m2-x-10mm-hex-allen-socket-head-high-tensile12-9-black-oxide-screw-dia-2mm-length-10mm,4
,m2-5mm philips,$0.22/₹20,,https://onlyscrews.in/products/m2-x-4mm-phillips-round-head-laptop-screw-dia-2mm-length-5mm,4
,brass insert 3mm,$0.11/₹10,,https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts,4
TOTAL,,,,,
,TOTAL ,$30/₹2750,,,
